settlement_id,payment_id,gross_amount,fee,tax,refund_amount,settlement_amount,currency,settlement_date,utr,status
setl_000000145,pay_000000145,1250.48,25.01,4.50,0.00,1220.97,INR,2026-08-25,HDFC2849649210,processed
setl_000000146,pay_000000146,7500.09,150.00,27.00,0.00,7323.09,INR,2026-08-30,HDFC2873548915,processed
setl_000000147,pay_000000147,4999.02,99.98,18.00,0.00,4881.04,INR,2026-08-22,SBIN2243458354,processed
setl_000000148,pay_000000148,899.31,17.99,3.24,0.00,878.08,INR,2026-08-23,AXIS5673482258,processed
setl_000000149,pay_000000149,1999.42,39.99,7.20,0.00,1952.23,INR,2026-08-29,AXIS8498174646,processed
setl_000000150,pay_000000150,1250.30,25.01,4.50,0.00,1220.79,INR,2026-08-18,ICICI6795522649,processed
setl_000000151,pay_000000151,1250.98,25.02,4.50,0.00,1221.46,INR,2026-08-27,ICICI3815389788,processed
setl_000000152,pay_000000152,7500.08,150.00,27.00,0.00,7323.08,INR,2026-08-24,KKBK2357806226,processed
setl_000000153,pay_000000153,12000.09,240.00,43.20,0.00,11716.89,INR,2026-08-21,KKBK5536224717,processed
setl_000000154,pay_000000154,899.78,18.00,3.24,0.00,878.54,INR,2026-08-26,AXIS9919491730,processed
setl_000000155,pay_000000155,3499.77,70.00,12.60,0.00,3417.17,INR,2026-08-24,HDFC3799620568,processed
setl_000000156,pay_000000156,1250.05,25.00,4.50,0.00,1220.55,INR,2026-08-20,AXIS9952125442,processed
setl_000000157,pay_000000157,3499.86,70.00,12.60,0.00,3417.26,INR,2026-08-26,AXIS6958908766,processed
setl_000000158,pay_000000158,2000.92,40.02,7.20,0.00,1953.70,INR,2026-08-30,HDFC6955247915,processed
setl_000000159,pay_000000159,3499.39,69.99,12.60,0.00,3416.80,INR,2026-08-27,KKBK3850192297,processed
setl_000000160,pay_000000160,1250.85,25.02,4.50,0.00,1221.33,INR,2026-08-28,HDFC8695129534,processed
setl_000000161,pay_000000161,499.46,9.99,1.80,0.00,487.67,INR,2026-08-21,SBIN7478908722,processed
setl_000000162,pay_000000162,1250.19,25.00,4.50,100.00,1120.69,INR,2026-08-18,SBIN1824656200,processed
setl_000000163,pay_000000163,1250.23,25.00,4.50,0.00,1220.73,INR,2026-08-30,KKBK2617999521,processed
setl_000000164,pay_000000164,1999.56,39.99,7.20,0.00,1952.37,INR,2026-08-26,HDFC7059591606,processed
setl_000000165,pay_000000165,3499.86,70.00,12.60,0.00,3417.26,INR,2026-08-26,ICICI4586784711,processed
setl_000000166,pay_000000166,1250.25,25.00,4.50,0.00,1220.75,INR,2026-08-29,KKBK7560389844,processed
setl_000000167,pay_000000167,12000.13,240.00,43.20,0.00,11716.93,INR,2026-08-28,SBIN9049270990,processed
setl_000000168,pay_000000168,12000.18,240.00,43.20,0.00,11716.98,INR,2026-08-30,ICICI6466597005,processed
setl_000000169,pay_000000169,4999.06,99.98,18.00,0.00,4881.08,INR,2026-08-23,AXIS4996346509,processed
setl_000000170,pay_000000170,499.40,9.99,1.80,0.00,487.61,INR,2026-08-18,HDFC2610237679,processed
setl_000000171,pay_000000171,7500.57,150.01,27.00,0.00,7323.56,INR,2026-08-26,AXIS4569592370,processed
setl_000000172,pay_000000172,12000.93,240.02,43.20,0.00,11717.71,INR,2026-08-26,ICICI4586139213,processed
setl_000000173,pay_000000173,499.30,9.99,1.80,0.00,487.51,INR,2026-08-23,ICICI2293434554,processed
setl_000000174,pay_000000174,12000.73,240.01,43.20,0.00,11717.52,INR,2026-08-20,SBIN9660523876,processed
setl_000000175,pay_000000175,899.67,17.99,3.24,0.00,878.44,INR,2026-08-22,AXIS2789144223,processed
setl_000000176,pay_000000176,4999.47,99.99,18.00,0.00,4881.48,INR,2026-08-21,SBIN9776913529,processed
setl_000000177,pay_000000177,499.45,9.99,1.80,0.00,487.66,INR,2026-08-25,HDFC2428156550,processed
setl_000000178,pay_000000178,7500.04,150.00,27.00,0.00,7323.04,INR,2026-08-21,SBIN1579187439,processed
setl_000000179,pay_000000179,12000.50,240.01,43.20,0.00,11717.29,INR,2026-08-30,AXIS9303765140,processed
setl_000000180,pay_000000180,499.83,10.00,1.80,0.00,488.03,INR,2026-08-22,ICICI6523804237,processed
setl_000000181,pay_000000181,4999.43,99.99,18.00,0.00,4881.44,INR,2026-08-19,SBIN8487449580,processed
setl_000000182,pay_000000182,4999.10,99.98,18.00,0.00,4881.12,INR,2026-08-23,KKBK9944748312,processed
setl_000000183,pay_000000183,3499.84,70.00,12.60,0.00,3417.24,INR,2026-08-21,AXIS1440654676,processed
setl_000000184,pay_000000184,499.93,10.00,1.80,0.00,488.13,INR,2026-08-30,SBIN6804850108,processed
setl_000000185,pay_000000185,4999.46,99.99,18.00,0.00,4881.47,INR,2026-08-25,HDFC9912233947,processed
setl_000000186,pay_000000186,1250.08,25.00,4.50,0.00,1220.58,INR,2026-08-20,KKBK2881937953,processed
setl_000000187,pay_000000187,1250.86,25.02,4.50,0.00,1221.34,INR,2026-08-24,KKBK9729028480,processed
setl_000000188,pay_000000188,3499.83,70.00,12.60,0.00,3417.23,INR,2026-08-21,KKBK6871005324,processed
setl_000000189,pay_000000189,12000.15,240.00,43.20,0.00,11716.95,INR,2026-08-21,SBIN7518666304,processed
setl_000000190,pay_000000190,899.17,17.98,3.24,0.00,877.95,INR,2026-08-30,KKBK3109688769,processed
setl_000000191,pay_000000191,3499.85,70.00,12.60,0.00,3417.25,INR,2026-08-22,SBIN5283209430,processed
setl_000000192,pay_000000192,3499.65,69.99,12.60,0.00,3417.06,INR,2026-08-20,ICICI3738900744,processed
setl_000000193,pay_000000193,12000.73,240.01,43.20,0.00,11717.52,INR,2026-08-22,SBIN5407856339,processed
setl_000000194,pay_000000194,4999.91,100.00,18.00,0.00,4881.91,INR,2026-08-28,HDFC5577353273,processed
setl_000000195,pay_000000195,3499.82,70.00,12.60,0.00,3417.22,INR,2026-08-18,KKBK1316756902,processed
setl_000000196,pay_000000196,4999.64,99.99,18.00,0.00,4881.65,INR,2026-08-30,KKBK5150074940,processed
setl_000000197,pay_000000197,3499.90,70.00,12.60,0.00,3417.30,INR,2026-08-20,AXIS1707196784,processed
setl_000000198,pay_000000198,2000.78,40.02,7.20,0.00,1953.56,INR,2026-08-25,AXIS2178758213,processed
setl_000000199,pay_000000199,3499.72,69.99,12.60,0.00,3417.13,INR,2026-08-17,KKBK1662259333,processed
setl_000000200,pay_000000200,499.63,9.99,1.80,500.00,-12.16,INR,2026-08-27,KKBK7752277876,processed
setl_000000201,pay_000000201,899.88,18.00,3.24,0.00,878.64,INR,2026-08-17,SBIN6572436051,processed
setl_000000202,pay_000000202,3499.93,70.00,12.60,0.00,3417.33,INR,2026-08-30,ICICI5912019621,processed
setl_000000203,pay_000000203,3499.30,69.99,12.60,0.00,3416.71,INR,2026-08-24,KKBK3412273600,processed
setl_000000204,pay_000000204,4999.78,100.00,18.00,0.00,4881.78,INR,2026-08-23,HDFC5512315375,processed
setl_000000205,pay_000000205,1999.97,40.00,7.20,0.00,1952.77,INR,2026-08-19,KKBK8392190335,processed
setl_000000206,pay_000000206,899.50,17.99,3.24,0.00,878.27,INR,2026-08-25,AXIS3136189070,processed
setl_000000207,pay_000000207,7500.76,150.02,27.00,0.00,7323.74,INR,2026-08-30,HDFC5512036684,processed
setl_000000208,pay_000000208,4999.17,99.98,18.00,0.00,4881.19,INR,2026-08-21,HDFC4638577630,processed
setl_000000209,pay_000000209,12000.24,240.00,43.20,0.00,11717.04,INR,2026-08-22,SBIN9809655189,processed
setl_000000210,pay_000000210,899.50,17.99,3.24,0.00,878.27,INR,2026-08-22,SBIN1510289448,processed
setl_000000211,pay_000000211,499.17,9.98,1.80,0.00,487.39,INR,2026-08-28,ICICI1172893522,processed
setl_000000212,pay_000000212,3499.78,70.00,12.60,0.00,3417.18,INR,2026-08-22,ICICI3214080278,processed
setl_000000213,pay_000000213,2000.60,40.01,7.20,0.00,1953.39,INR,2026-08-30,KKBK7581349462,processed
setl_000000214,pay_000000214,499.76,10.00,1.80,0.00,487.96,INR,2026-08-24,SBIN7801948900,processed
setl_000000215,pay_000000215,12000.80,240.02,43.20,0.00,11717.58,INR,2026-08-28,KKBK3063511828,processed
setl_000000216,pay_000000216,899.24,17.98,3.24,0.00,878.02,INR,2026-08-17,ICICI9725528903,processed
setl_000000217,pay_000000217,499.90,10.00,1.80,0.00,488.10,INR,2026-08-19,ICICI9248574674,processed
setl_000000218,pay_000000218,3499.22,69.98,12.60,0.00,3416.64,INR,2026-08-24,SBIN7551874474,processed
setl_000000218_b,pay_000000218,3499.22,69.98,12.60,0.00,3416.64,INR,2026-08-24,SBIN7551874474B,processed
setl_000000219,pay_000000219,1999.31,39.99,7.20,0.00,1952.12,INR,2026-08-21,AXIS7915226263,processed
setl_000000220,pay_000000220,1999.88,40.00,7.20,250.00,1702.68,INR,2026-08-28,AXIS8607135564,processed
setl_000000221,pay_000000221,12000.48,240.01,43.20,0.00,11717.27,INR,2026-08-23,AXIS2236045959,processed
setl_000000222,pay_000000222,7500.83,150.02,27.00,0.00,7323.81,INR,2026-08-21,AXIS5634396131,processed
setl_000000223,pay_000000223,1250.13,25.00,4.50,0.00,1220.63,INR,2026-08-26,AXIS8285000265,processed
setl_000000224,pay_000000224,899.52,17.99,3.24,0.00,878.29,INR,2026-08-22,KKBK2000025413,processed
setl_000000225,pay_000000225,7500.61,150.01,27.00,0.00,7323.60,INR,2026-08-27,KKBK5973319056,processed
setl_000000226,pay_000000226,1999.68,39.99,7.20,0.00,1952.49,INR,2026-08-28,HDFC9974165440,processed
setl_000000227,pay_000000227,7500.23,150.00,27.00,0.00,7323.23,INR,2026-08-28,ICICI8886432673,processed
setl_000000228,pay_000000228,3499.36,69.99,12.60,0.00,3416.77,INR,2026-08-24,KKBK3588933132,processed
setl_000000229,pay_000000229,1999.14,39.98,7.20,0.00,1951.96,INR,2026-08-22,ICICI7305101214,processed
setl_000000230,pay_000000230,3499.37,69.99,12.60,0.00,3416.78,INR,2026-08-26,ICICI9650425740,processed
setl_000000231,pay_000000231,12000.41,240.01,43.20,0.00,11717.20,INR,2026-08-18,SBIN8846861559,processed
setl_000000232,pay_000000232,1999.00,39.98,7.20,0.00,1951.82,INR,2026-08-21,ICICI7345617046,processed
setl_000000233,pay_000000233,3499.88,70.00,12.60,0.00,3417.28,INR,2026-08-20,AXIS5344083406,processed
setl_000000234,pay_000000234,1999.28,39.99,7.20,0.00,1952.09,INR,2026-08-19,ICICI6562144159,processed
setl_000000235,pay_000000235,12000.60,240.01,43.20,0.00,11717.39,INR,2026-08-29,KKBK6899673770,processed
setl_000000236,pay_000000236,7500.67,150.01,27.00,0.00,7323.66,INR,2026-08-28,KKBK9941564880,processed
setl_000000237,pay_000000237,1250.41,25.01,4.50,0.00,1220.90,INR,2026-08-30,KKBK3304937838,processed
setl_000000238,pay_000000238,12000.57,240.01,43.20,0.00,11717.36,INR,2026-08-29,KKBK3099500153,processed
