order_id,payment_id,order_amount,currency,order_date,status,payment_method
O-100040,pay_000000040,3499.39,INR,2026-08-28 12:14:00,captured,UPI
O-100041,pay_000000041,899.98,INR,2026-08-19 14:41:00,captured,Wallet
O-100042,pay_000000042,2000.22,INR,2026-08-24 13:02:00,captured,UPI
O-100043,pay_000000043,12000.14,INR,2026-08-21 18:12:00,captured,Netbanking
O-100044,pay_000000044,12000.87,INR,2026-08-26 19:12:00,captured,Netbanking
O-100045,pay_000000045,899.92,INR,2026-08-19 17:19:00,captured,Wallet
O-100046,pay_000000046,1999.53,INR,2026-08-25 15:43:00,captured,Card
O-100047,pay_000000047,2000.36,INR,2026-08-18 15:50:00,captured,Netbanking
O-100048,pay_000000048,12000.60,INR,2026-08-27 11:42:00,captured,UPI
O-100049,pay_000000049,1999.86,INR,2026-08-19 12:51:00,captured,Card
O-100050,pay_000000050,4999.80,INR,2026-08-24 12:45:00,captured,Wallet
O-100051,pay_000000051,899.99,INR,2026-08-21 12:11:00,captured,Wallet
O-100052,pay_000000052,1250.59,INR,2026-08-25 17:35:00,captured,Netbanking
O-100053,pay_000000053,12000.57,INR,2026-08-17 16:28:00,captured,Card
O-100054,pay_000000054,1999.35,INR,2026-08-22 10:45:00,captured,Netbanking
O-100055,pay_000000055,1250.19,INR,2026-08-18 15:44:00,captured,Card
O-100056,pay_000000056,3499.69,INR,2026-08-22 15:03:00,captured,Card
O-100057,pay_000000057,4999.61,INR,2026-08-15 14:19:00,captured,Wallet
O-100058,pay_000000058,7500.28,INR,2026-08-19 15:31:00,captured,UPI
O-100059,pay_000000059,7500.16,INR,2026-08-24 17:01:00,captured,Wallet
O-100060,pay_000000060,4999.17,INR,2026-08-28 16:11:00,captured,UPI
O-100061,pay_000000061,3499.43,INR,2026-08-27 15:17:00,captured,Wallet
O-100062,pay_000000062,12000.06,INR,2026-08-20 12:41:00,captured,UPI
O-100063,pay_000000063,1999.25,INR,2026-08-28 09:39:00,captured,Card
O-100064,pay_000000064,1999.59,INR,2026-08-26 13:49:00,captured,Netbanking
O-100065,pay_000000065,1250.39,INR,2026-08-16 18:01:00,captured,Netbanking
O-100066,pay_000000066,899.75,INR,2026-08-26 19:15:00,captured,UPI
O-100067,pay_000000067,3499.68,INR,2026-08-21 19:23:00,captured,UPI
O-100068,pay_000000068,4999.46,INR,2026-08-25 16:45:00,captured,Card
O-100069,pay_000000069,4999.93,INR,2026-08-24 13:20:00,captured,Card
O-100070,pay_000000070,7500.72,INR,2026-08-24 19:24:00,captured,Netbanking
O-100071,pay_000000071,1999.45,INR,2026-08-27 13:21:00,captured,Netbanking
O-100072,pay_000000072,12000.24,INR,2026-08-16 12:46:00,captured,Wallet
O-100073,pay_000000073,7500.57,INR,2026-08-27 09:05:00,captured,Netbanking
O-100074,pay_000000074,7500.70,INR,2026-08-23 14:27:00,captured,Netbanking
O-100075,pay_000000075,2000.29,INR,2026-08-16 12:20:00,captured,UPI
O-100076,pay_000000076,7500.35,INR,2026-08-26 18:48:00,captured,Netbanking
O-100077,pay_000000077,3499.22,INR,2026-08-19 09:45:00,captured,Card
O-100078,pay_000000078,1250.81,INR,2026-08-28 16:06:00,captured,UPI
O-100079,pay_000000079,3499.23,INR,2026-08-15 13:55:00,captured,Wallet
O-100080,pay_000000080,899.73,INR,2026-08-25 19:03:00,captured,Card
O-100081,pay_000000081,899.31,INR,2026-08-16 17:48:00,captured,Wallet
O-100082,pay_000000082,7500.56,INR,2026-08-19 18:27:00,captured,Netbanking
O-100083,pay_000000083,1999.80,INR,2026-08-18 13:42:00,captured,UPI
O-100084,pay_000000084,1250.00,INR,2026-08-21 16:44:00,captured,Wallet
O-100085,pay_000000085,899.87,INR,2026-08-18 13:50:00,captured,Card
O-100086,pay_000000086,499.21,INR,2026-08-27 13:38:00,captured,Netbanking
O-100087,pay_000000087,4999.34,INR,2026-08-23 17:31:00,captured,Wallet
O-100088,pay_000000088,3499.77,INR,2026-08-19 09:05:00,captured,Card
O-100089,pay_000000089,499.97,INR,2026-08-27 11:30:00,captured,Wallet
O-100090,pay_000000090,899.60,INR,2026-08-20 15:21:00,captured,UPI
O-100091,pay_000000091,4999.97,INR,2026-08-23 09:29:00,captured,UPI
O-100092,pay_000000092,12000.00,INR,2026-08-25 17:29:00,captured,Wallet
O-100093,pay_000000093,7500.97,INR,2026-08-15 12:17:00,captured,Card
O-100094,pay_000000094,499.80,INR,2026-08-24 12:45:00,captured,Netbanking
O-100095,pay_000000095,1999.14,INR,2026-08-22 10:41:00,captured,Card
O-100096,pay_000000096,7500.60,INR,2026-08-18 16:35:00,captured,Card
O-100097,pay_000000097,899.35,INR,2026-08-27 15:21:00,captured,Netbanking
O-100098,pay_000000098,7500.19,INR,2026-08-22 17:30:00,captured,Netbanking
O-100099,pay_000000099,3499.24,INR,2026-08-26 12:36:00,captured,Wallet
O-100100,pay_000000100,7500.90,INR,2026-08-27 15:24:00,captured,Card
O-100101,pay_000000101,899.67,INR,2026-08-22 09:46:00,captured,Card
O-100102,pay_000000102,2000.43,INR,2026-08-24 15:41:00,captured,UPI
O-100103,pay_000000103,12000.04,INR,2026-08-24 10:15:00,captured,Netbanking
O-100104,pay_000000104,7500.21,INR,2026-08-26 13:57:00,captured,UPI
O-100105,pay_000000105,3499.55,INR,2026-08-17 12:33:00,captured,Wallet
O-100106,pay_000000106,899.78,INR,2026-08-28 15:39:00,captured,Card
O-100107,pay_000000107,7500.81,INR,2026-08-19 16:16:00,captured,UPI
O-100108,pay_000000108,12000.20,INR,2026-08-16 16:22:00,captured,Netbanking
O-100109,pay_000000109,7500.38,INR,2026-08-18 15:54:00,captured,Wallet
O-100110,pay_000000110,2000.89,INR,2026-08-19 09:53:00,captured,Wallet
O-100111,pay_000000111,7500.36,INR,2026-08-27 12:38:00,captured,Netbanking
O-100112,pay_000000112,1250.80,INR,2026-08-16 19:41:00,captured,UPI
O-100113,pay_000000113,3499.93,INR,2026-08-17 10:58:00,captured,Netbanking
O-100114,pay_000000114,"₹1,250.69",INR,2026-08-20 17:32:00,captured,Netbanking
O-100115,pay_000000115,2000.95,INR,2026-08-28 14:51:00,captured,UPI
O-100116,pay_000000116,4999.71,INR,2026-08-20 10:50:00,captured,Wallet
O-100117,pay_000000117,3499.86,INR,2026-08-26 19:16:00,captured,Wallet
O-100118,pay_000000118,499.79,INR,2026-08-23 14:58:00,captured,Card
O-100119,pay_000000119,1250.05,INR,2026-08-15 13:31:00,captured,UPI
O-100120,pay_000000120,7500.47,INR,2026-08-25 17:26:00,captured,Card
O-100121,pay_000000121,4999.35,INR,2026-08-15 14:13:00,captured,Wallet
O-100122,pay_000000122,899.87,INR,2026-08-20 17:57:00,captured,Netbanking
O-100123,pay_000000123,1999.82,INR,2026-08-25 18:01:00,captured,UPI
O-100124,pay_000000124,1999.08,INR,2026-08-28 17:13:00,captured,Card
O-100125,pay_000000125,1250.16,INR,2026-08-23 13:51:00,captured,Card
O-100126,pay_000000126,3499.30,INR,2026-08-24 14:01:00,captured,Card
O-100127,pay_000000127,12000.14,INR,2026-08-26 10:30:00,captured,Wallet
O-100128,pay_000000128,7500.64,INR,2026-08-18 18:02:00,captured,Netbanking
O-100129,pay_000000129,899.62,INR,2026-08-26 16:04:00,captured,UPI
O-100130,pay_000000130,2000.79,INR,2026-08-25 18:35:00,captured,Netbanking
O-100131,pay_000000131,7500.64,INR,2026-08-24 15:06:00,captured,UPI
O-100132,pay_000000132,7500.29,INR,2026-08-21 14:52:00,captured,Wallet
O-100133,pay_000000133,3499.85,INR,2026-08-19 14:09:00,captured,Wallet
O-100134,pay_000000134,899.95,INR,2026-08-26 14:51:00,captured,Card
O-100135,pay_000000135,899.52,INR,2026-08-20 19:48:00,captured,Wallet
O-100136,pay_000000136,2000.45,INR,2026-08-16 18:32:00,captured,Card
O-100137,pay_000000137,12000.47,INR,2026-08-16 13:36:00,captured,Card
O-100138,pay_000000138,2000.03,INR,2026-08-17 13:44:00,captured,Netbanking
O-100139,pay_000000139,1250.72,INR,2026-08-25 15:04:00,captured,UPI
O-100140,pay_000000140,4999.58,INR,2026-08-20 11:23:00,captured,Netbanking
O-100141,pay_000000141,499.19,INR,2026-08-17 18:03:00,captured,UPI
O-100142,pay_000000142,2000.27,INR,2026-08-27 17:07:00,captured,Netbanking
O-100143,pay_000000143,12000.85,INR,2026-08-19 09:14:00,captured,Wallet
O-100144,pay_000000144,2000.27,INR,2026-08-27 11:48:00,captured,Netbanking
O-100145,pay_000000145,1250.48,INR,2026-08-23 12:32:00,captured,Netbanking
O-100146,pay_000000146,7500.09,INR,2026-08-28 14:36:00,captured,Wallet
O-100147,pay_000000147,4999.02,INR,2026-08-20 11:51:00,captured,Wallet
O-100148,pay_000000148,899.31,INR,2026-08-21 18:25:00,captured,UPI
O-100149,pay_000000149,1999.42,INR,2026-08-27 11:04:00,captured,UPI
O-100150,pay_000000150,1250.30,INR,2026-08-16 11:16:00,captured,Card
O-100151,pay_000000151,1250.98,INR,2026-08-25 16:29:00,captured,Wallet
O-100152,pay_000000152,7500.08,INR,2026-08-22 16:40:00,captured,Netbanking
O-100153,pay_000000153,12000.09,INR,2026-08-19 16:28:00,captured,UPI
O-100154,pay_000000154,899.78,INR,2026-08-24 17:24:00,captured,Wallet
O-100155,pay_000000155,3499.77,INR,2026-08-22 17:09:00,captured,UPI
O-100156,pay_000000156,1250.05,INR,2026-08-18 16:28:00,captured,Card
O-100157,pay_000000157,3499.86,INR,2026-08-24 09:50:00,captured,Netbanking
O-100158,pay_000000158,2000.92,INR,2026-08-28 19:58:00,captured,Card
O-100159,pay_000000159,3499.39,INR,2026-08-25 19:25:00,captured,Card
O-100160,pay_000000160,1250.85,INR,2026-08-26 19:58:00,captured,UPI
O-100161,pay_000000161,499.46,INR,2026-08-19 11:13:00,captured,Netbanking
O-100162,pay_000000162,1250.19,INR,2026-08-16 13:54:00,captured,UPI
O-100163,pay_000000163,1250.23,INR,2026-08-28 18:51:00,captured,Card
O-100164,pay_000000164,1999.56,INR,2026-08-24 13:48:00,captured,Wallet
O-100165,pay_000000165,3499.86,INR,2026-08-24 16:29:00,captured,Netbanking
O-100166,pay_000000166,1250.25,INR,2026-08-27 18:08:00,captured,Netbanking
O-100167,pay_000000167,12000.13,INR,2026-08-26 17:54:00,captured,UPI
O-100168,pay_000000168,12000.18,INR,2026-08-28 15:05:00,captured,Card
O-100169,pay_000000169,4999.06,INR,2026-08-21 17:23:00,captured,Card
O-100170,pay_000000170,499.40,INR,2026-08-16 19:21:00,captured,Card
O-100171,pay_000000171,7500.57,INR,2026-08-24 09:57:00,captured,UPI
O-100172,pay_000000172,12000.93,INR,2026-08-24 17:27:00,captured,UPI
O-100173,pay_000000173,499.30,INR,2026-08-21 19:50:00,captured,Wallet
O-100174,pay_000000174,12000.73,INR,2026-08-18 11:18:00,captured,Wallet
O-100175,pay_000000175,899.67,INR,2026-08-20 10:33:00,captured,UPI
O-100176,pay_000000176,4999.47,INR,2026-08-19 09:22:00,captured,UPI
O-100177,pay_000000177,499.45,INR,2026-08-23 14:52:00,captured,Card
O-100178,pay_000000178,7500.04,INR,2026-08-19 12:02:00,captured,Card
O-100179,pay_000000179,12000.50,INR,2026-08-28 17:30:00,captured,Netbanking
O-100180,pay_000000180,499.83,INR,2026-08-20 13:07:00,captured,Netbanking
O-100181,pay_000000181,4999.43,INR,2026-08-17 16:44:00,captured,Wallet
O-100182,pay_000000182,4999.10,INR,2026-08-21 18:52:00,captured,Card
O-100183,pay_000000183,3499.84,INR,2026-08-19 13:28:00,captured,Wallet
O-100184,pay_000000184,499.93,INR,2026-08-28 14:39:00,captured,Wallet
O-100185,pay_000000185,4999.46,INR,2026-08-23 19:10:00,captured,UPI
O-100186,pay_000000186,1250.08,INR,2026-08-18 19:23:00,captured,Netbanking
O-100187,pay_000000187,1250.86,INR,2026-08-22 14:23:00,captured,Wallet
O-100188,pay_000000188,3499.83,INR,2026-08-19 12:07:00,captured,UPI
O-100189,pay_000000189,12000.15,INR,2026-08-19 13:45:00,captured,Wallet
O-100190,pay_000000190,899.17,INR,2026-08-28 10:28:00,captured,Card
O-100191,pay_000000191,3499.85,INR,2026-08-20 10:35:00,captured,Netbanking
O-100192,pay_000000192,3499.65,INR,2026-08-18 10:12:00,captured,Card
O-100193,pay_000000193,12000.73,INR,2026-08-20 16:51:00,captured,Card
O-100194,pay_000000194,4999.91,INR,2026-08-26 16:33:00,captured,Wallet
O-100195,pay_000000195,3499.82,INR,2026-08-16 16:29:00,captured,Netbanking
O-100196,pay_000000196,4999.64,INR,2026-08-28 09:53:00,captured,UPI
O-100197,pay_000000197,3499.90,INR,2026-08-18 14:33:00,captured,Netbanking
O-100198,pay_000000198,2000.78,INR,2026-08-23 10:32:00,captured,Card
O-100199,pay_000000199,3499.72,INR,2026-08-15 09:05:00,captured,UPI
O-100200,pay_000000200,499.63,INR,2026-08-25 17:18:00,captured,Netbanking
O-100201,pay_000000201,899.88,INR,2026-08-15 11:28:00,captured,Wallet
O-100202,pay_000000202,3499.93,INR,2026-08-28 14:25:00,captured,Card
O-100203,pay_000000203,3499.30,INR,2026-08-22 10:17:00,captured,Wallet
O-100204,pay_000000204,4999.78,INR,2026-08-21 12:55:00,captured,Card
O-100205,pay_000000205,1999.97,INR,2026-08-17 16:32:00,captured,Wallet
O-100206,pay_000000206,899.50,INR,2026-08-23 16:15:00,captured,Card
O-100207,pay_000000207,7500.76,INR,2026-08-28 19:43:00,captured,Wallet
O-100208,pay_000000208,4999.17,INR,2026-08-19 14:48:00,captured,Wallet
O-100209,pay_000000209,12000.24,INR,2026-08-20 17:18:00,captured,UPI
O-100210,pay_000000210,899.50,INR,2026-08-20 14:35:00,captured,Netbanking
O-100211,pay_000000211,499.17,INR,2026-08-26 14:51:00,captured,Wallet
O-100212,pay_000000212,3499.78,INR,2026-08-20 11:25:00,captured,Netbanking
O-100213,pay_000000213,2000.60,INR,2026-08-28 09:23:00,captured,Netbanking
O-100214,pay_000000214,499.76,INR,2026-08-22 13:41:00,captured,Card
O-100215,pay_000000215,12000.80,INR,2026-08-26 18:49:00,captured,Wallet
O-100216,pay_000000216,899.24,INR,2026-08-15 16:20:00,captured,Wallet
O-100217,pay_000000217,499.90,INR,2026-08-17 17:13:00,captured,Netbanking
O-100218,pay_000000218,3499.22,INR,2026-08-22 17:21:00,captured,Netbanking
O-100219,pay_000000219,1999.31,INR,2026-08-19 17:19:00,captured,Card
O-100220,pay_000000220,1999.88,INR,2026-08-26 16:20:00,captured,Netbanking
O-100221,pay_000000221,12000.48,INR,2026-08-21 14:49:00,captured,Card
O-100222,pay_000000222,7500.83,INR,2026-08-19 16:13:00,captured,Card
O-100223,pay_000000223,1250.13,INR,2026-08-24 18:15:00,captured,Card
O-100224,pay_000000224,899.52,INR,2026-08-20 16:06:00,captured,Card
O-100225,pay_000000225,7500.61,INR,2026-08-25 12:48:00,captured,Netbanking
O-100226,pay_000000226,1999.68,INR,2026-08-26 09:58:00,captured,Card
O-100227,pay_000000227,7500.23,INR,2026-08-26 13:56:00,captured,UPI
O-100228,pay_000000228,3499.36,INR,2026-08-22 19:34:00,captured,Wallet
O-100229,pay_000000229,1999.14,INR,2026-08-20 11:46:00,captured,Wallet
O-100230,pay_000000230,3499.37,INR,2026-08-24 19:48:00,captured,Card
O-100231,pay_000000231,12000.41,INR,2026-08-16 15:42:00,captured,UPI
O-100232,pay_000000232,1999.00,INR,2026-08-19 15:15:00,captured,Wallet
O-100233,pay_000000233,3499.88,INR,2026-08-18 09:42:00,captured,UPI
O-100234,pay_000000234,1999.28,INR,2026-08-17 16:09:00,captured,Wallet
O-100235,pay_000000235,12000.60,INR,2026-08-27 17:51:00,captured,Card
O-100236,pay_000000236,7500.67,INR,2026-08-26 14:04:00,captured,UPI
O-100237,pay_000000237,1250.41,INR,2026-08-28 17:28:00,captured,UPI
O-100238,pay_000000238,12000.57,INR,2026-08-27 09:29:00,captured,Card
O-100239,pay_000000239,12000.59,INR,2026-08-25 13:46:00,captured,UPI
O-100240,pay_000000240,899.05,INR,2026-08-21 14:44:00,captured,UPI
O-100241,pay_000000241,499.36,INR,2026-08-21 11:49:00,captured,Card
O-100242,pay_000000242,7500.48,INR,2026-08-21 10:43:00,captured,Card
O-100243,pay_000000243,12000.50,INR,2026-08-23 11:46:00,captured,Card
O-100244,pay_000000244,7500.86,INR,2026-08-26 17:27:00,captured,Wallet
O-100245,pay_000000245,1250.35,INR,2026-08-18 10:02:00,captured,Wallet
O-100246,pay_000000246,899.12,INR,2026-08-24 09:28:00,captured,UPI
O-100247,pay_000000247,1999.69,INR,2026-08-18 09:08:00,captured,Netbanking
O-100248,pay_000000248,2000.18,INR,2026-08-25 17:14:00,captured,Wallet
O-100249,pay_000000249,12000.63,INR,2026-08-15 14:41:00,captured,Wallet
O-100250,pay_000000250,,INR,2026-08-19 15:11:00,captured,Wallet
O-100251,pay_000000251,7500.07,INR,2026-08-23 15:26:00,captured,Card
O-100252,pay_000000252,899.57,INR,2026-08-28 14:05:00,captured,Card
O-100253,pay_000000253,899.24,INR,2026-08-27 18:46:00,captured,Card
O-100254,pay_000000254,1999.24,INR,2026-08-26 10:47:00,captured,Wallet
O-100255,pay_000000255,4999.30,INR,2026-08-23 14:49:00,captured,Wallet
O-100256,pay_000000256,3499.65,INR,2026-08-22 16:06:00,captured,Wallet
O-100257,pay_000000257,3499.40,INR,2026-08-21 09:36:00,captured,Card
O-100258,pay_000000258,1250.25,INR,2026-08-20 12:24:00,captured,Card
O-100259,pay_000000259,7500.58,INR,2026-08-17 14:10:00,captured,Card
O-100260,pay_000000260,12000.04,INR,2026-08-28 10:52:00,captured,UPI
O-100261,pay_000000261,899.90,INR,2026-08-17 09:13:00,captured,Wallet
O-100262,pay_000000262,7500.02,INR,2026-08-15 17:35:00,captured,Wallet
O-100263,pay_000000263,12000.36,INR,2026-08-15 17:52:00,captured,Wallet
O-100264,pay_000000264,1999.79,INR,2026-08-23 13:52:00,captured,Netbanking
O-100265,pay_000000265,4999.58,INR,2026-08-24 12:44:00,captured,Card
O-100266,pay_000000266,899.51,INR,2026-08-21 15:35:00,captured,Wallet
O-100267,pay_000000267,899.63,INR,2026-08-28 15:41:00,captured,Netbanking
O-100268,pay_000000268,1999.27,INR,2026-08-28 18:30:00,captured,Netbanking
O-100269,pay_000000269,1250.40,INR,2026-08-15 12:37:00,captured,Card
O-100270,pay_000000270,2000.20,INR,2026-08-24 12:36:00,captured,Wallet
O-100271,pay_000000271,1250.88,INR,2026-08-26 10:32:00,captured,Netbanking
O-100272,pay_000000272,4999.99,INR,2026-08-20 09:40:00,captured,Netbanking
O-100273,pay_000000273,3499.70,INR,2026-08-21 15:11:00,captured,Wallet
O-100274,pay_000000274,2000.19,INR,2026-08-21 19:09:00,captured,Wallet
O-100275,pay_000000275,2000.56,INR,2026-08-20 13:06:00,captured,Card
O-100276,pay_000000276,499.11,INR,2026-08-20 17:05:00,captured,Netbanking
O-100277,pay_000000277,4999.99,INR,2026-08-16 17:57:00,captured,Card
O-100278,pay_000000278,1250.17,INR,2026-08-19 13:17:00,captured,Wallet
O-100279,pay_000000279,4999.38,INR,2026-08-22 10:23:00,captured,Netbanking
O-100280,pay_000000280,899.17,INR,2026-08-19 09:25:00,captured,Wallet
O-100281,pay_000000281,4999.83,INR,31/02/2026,captured,Netbanking
O-100282,pay_000000282,1250.50,INR,2026-08-20 13:47:00,captured,Wallet
O-100283,pay_000000283,2000.50,INR,2026-08-20 10:59:00,captured,Card
O-100284,pay_000000284,1999.56,INR,2026-08-27 13:53:00,captured,UPI
O-100285,pay_000000285,1250.81,INR,2026-08-19 12:16:00,captured,Card
O-100286,pay_000000286,7500.74,INR,2026-08-21 17:32:00,captured,Wallet
O-100287,pay_000000287,899.98,INR,2026-08-18 19:42:00,captured,Netbanking
O-100288,pay_000000288,4999.96,INR,2026-08-20 15:06:00,captured,UPI
O-100289,pay_000000289,7500.47,INR,2026-08-21 16:49:00,captured,Card
O-100290,pay_000000290,2000.53,INR,2026-08-16 10:53:00,captured,Card
O-100291,pay_000000291,7500.12,INR,2026-08-22 16:20:00,captured,UPI
O-100292,pay_000000292,1999.66,INR,2026-08-17 17:10:00,captured,Netbanking
O-100293,pay_000000293,4999.50,INR,2026-08-15 18:56:00,captured,Card
O-100294,pay_000000294,1999.26,INR,2026-08-19 10:36:00,captured,UPI
O-100295,pay_000000295,3499.25,INR,2026-08-22 10:16:00,captured,Wallet
O-100296,pay_000000296,4999.75,INR,2026-08-16 14:22:00,captured,Wallet
O-100297,pay_000000297,1250.40,INR,2026-08-16 12:19:00,captured,UPI
O-100298,pay_000000298,4999.76,INR,2026-08-17 18:24:00,captured,Wallet
O-100299,pay_000000299,12000.21,INR,2026-08-22 13:08:00,captured,Card
O-100300,pay_000000300,3499.01,INR,2026-08-22 11:12:00,captured,Wallet
O-100301,pay_000000301,4999.87,INR,2026-08-22 15:45:00,captured,Wallet
O-100302,pay_000000302,1999.37,INR,2026-08-15 13:14:00,captured,Netbanking
O-100303,pay_000000303,899.34,INR,2026-08-27 17:52:00,captured,Netbanking
O-100304,pay_000000304,1999.38,INR,2026-08-28 09:28:00,captured,Netbanking
O-100305,pay_000000305,1999.26,INR,2026-08-27 18:44:00,captured,Netbanking
O-100306,pay_000000306,1250.78,INR,2026-08-17 12:52:00,captured,Card
O-100307,pay_000000307,3499.90,INR,2026-08-19 13:36:00,captured,Netbanking
O-100308,pay_000000308,4999.07,INR,2026-08-19 19:08:00,captured,Card
O-100309,pay_000000309,4999.62,INR,2026-08-17 18:40:00,captured,Netbanking
O-100310,pay_000000310,899.51,INR,2026-08-23 13:44:00,captured,Netbanking
O-100311,pay_000000311,7500.81,INR,2026-08-25 14:54:00,captured,UPI
O-100312,pay_000000312,2000.41,INR,2026-08-28 13:21:00,captured,Card
O-100313,pay_000000313,499.05,INR,2026-08-16 19:50:00,captured,Wallet
O-100314,pay_000000314,499.54,INR,2026-08-18 11:56:00,captured,Netbanking
O-100315,pay_000000315,3499.32,INR,2026-08-16 14:42:00,captured,Card
O-100316,pay_000000316,4999.83,INR,2026-08-16 10:00:00,captured,Card
O-100317,pay_000000317,12000.87,INR,2026-08-22 09:00:00,captured,Netbanking
O-100318,pay_000000318,7500.09,INR,2026-08-18 15:05:00,captured,UPI
O-100319,pay_000000319,1250.48,INR,2026-08-27 11:41:00,captured,Card
O-100320,pay_000000320,1250.56,INR,2026-08-20 12:40:00,captured,Card
O-100321,pay_000000321,1999.11,INR,2026-08-16 11:48:00,captured,Wallet
O-100322,pay_000000322,2000.82,INR,2026-08-16 12:35:00,captured,Netbanking
O-100323,pay_000000323,12000.77,INR,2026-08-23 12:47:00,captured,Wallet
O-100324,pay_000000324,4999.14,INR,2026-08-18 16:40:00,captured,UPI
O-100325,pay_000000325,3499.16,INR,2026-08-21 18:26:00,captured,Netbanking
O-100326,pay_000000326,899.02,INR,2026-08-24 10:00:00,captured,Netbanking
O-100327,pay_000000327,4999.89,INR,2026-08-21 10:40:00,captured,Card
O-100328,pay_000000328,1999.19,INR,2026-08-23 14:25:00,captured,UPI
O-100329,pay_000000329,499.31,INR,2026-08-16 15:07:00,captured,Wallet
O-100330,pay_000000330,899.01,INR,2026-08-26 11:44:00,captured,UPI
O-100331,pay_000000331,1250.47,INR,2026-08-17 13:46:00,captured,UPI
O-100332,pay_000000332,12000.08,INR,2026-08-19 18:40:00,captured,UPI
O-100333,pay_000000333,7500.72,INR,2026-08-17 14:10:00,captured,Netbanking
O-100334,pay_000000334,12000.00,INR,2026-08-15 09:15:00,captured,UPI
O-100335,pay_000000335,1250.04,INR,2026-08-23 19:26:00,captured,Card
O-100336,pay_000000336,899.73,INR,2026-08-20 10:32:00,captured,UPI
O-100337,pay_000000337,4999.08,INR,2026-08-22 13:49:00,captured,Netbanking
O-100338,pay_000000338,3499.25,INR,2026-08-19 18:50:00,captured,Netbanking
O-100339,pay_000000339,7500.98,INR,2026-08-27 12:46:00,captured,Card
O-100340,pay_000000340,12000.44,INR,2026-08-25 09:21:00,captured,UPI
O-100341,pay_000000341,899.26,INR,2026-08-23 12:26:00,captured,Wallet
O-100342,pay_000000342,899.05,INR,2026-08-18 17:26:00,captured,Netbanking
O-100343,pay_000000343,12000.17,INR,2026-08-25 15:04:00,captured,UPI
O-100344,pay_000000344,2000.40,INR,2026-08-27 15:44:00,captured,Netbanking
O-100345,pay_000000345,1999.17,INR,2026-08-27 18:06:00,captured,Card
