bank_transaction_id,settlement_id,utr,credit_amount,currency,value_date,narration
bnk_000000053,setl_000000053,SBIN7462972995,11217.36,INR,2026-08-19,NEFT CR RAZORPAY SBIN7462972995
bnk_000000054,setl_000000054,AXIS7533932947,1952.16,INR,2026-08-24,NEFT CR RAZORPAY AXIS7533932947
bnk_000000055,setl_000000055,AXIS3319936135,1220.69,INR,2026-08-20,NEFT CR RAZORPAY AXIS3319936135
bnk_000000056,setl_000000056,HDFC7076811348,3417.10,INR,2026-08-24,NEFT CR RAZORPAY HDFC7076811348
bnk_000000057,setl_000000057,SBIN3987248494,4881.62,INR,2026-08-17,NEFT CR RAZORPAY SBIN3987248494
bnk_000000058,setl_000000058,SBIN4856070374,7323.27,INR,2026-08-21,NEFT CR RAZORPAY SBIN4856070374
bnk_000000059,setl_000000059,SBIN4110335359,7323.16,INR,2026-08-26,NEFT CR RAZORPAY SBIN4110335359
bnk_000000060,setl_000000060,HDFC9950486177,4881.19,INR,2026-08-30,NEFT CR RAZORPAY HDFC9950486177
bnk_000000061,setl_000000061,AXIS6204041308,3416.84,INR,2026-08-29,NEFT CR RAZORPAY AXIS6204041308
bnk_000000062,setl_000000062,HDFC3019952485,11716.86,INR,2026-08-22,NEFT CR RAZORPAY HDFC3019952485
bnk_000000063,setl_000000063,HDFC4239406957,1952.07,INR,2026-08-30,NEFT CR RAZORPAY HDFC4239406957
bnk_000000064,setl_000000064,SBIN3875303857,1952.40,INR,2026-08-28,NEFT CR RAZORPAY SBIN3875303857
bnk_000000065,setl_000000065,KKBK4085320828,1220.88,INR,2026-08-18,NEFT CR RAZORPAY KKBK4085320828
bnk_000000066,setl_000000066,SBIN4070964768,878.51,INR,2026-08-28,NEFT CR RAZORPAY SBIN4070964768
bnk_000000067,setl_000000067,AXIS4361393222,3417.09,INR,2026-08-23,NEFT CR RAZORPAY AXIS4361393222
bnk_000000068,setl_000000068,AXIS3105400301,4881.47,INR,2026-08-27,NEFT CR RAZORPAY AXIS3105400301
bnk_000000069,setl_000000069,KKBK7371573279,4881.93,INR,2026-08-26,NEFT CR RAZORPAY KKBK7371573279
bnk_000000070,setl_000000070,HDFC2936179853,7323.71,INR,2026-08-26,NEFT CR RAZORPAY HDFC2936179853
bnk_000000071,setl_000000071,AXIS6075963527,1952.26,INR,2026-08-29,NEFT CR RAZORPAY AXIS6075963527
bnk_000000072,setl_000000072,AXIS3387104291,11717.04,INR,2026-08-18,NEFT CR RAZORPAY AXIS3387104291
bnk_000000073,setl_000000073,ICICI8261111839,7323.56,INR,2026-08-29,NEFT CR RAZORPAY ICICI8261111839
bnk_000000074,setl_000000074,ICICI7792729530,7323.69,INR,2026-08-25,NEFT CR RAZORPAY ICICI7792729530
bnk_000000075,setl_000000075,SBIN6458544482,1953.08,INR,2026-08-18,NEFT CR RAZORPAY SBIN6458544482
bnk_000000076,setl_000000076,ICICI1822662216,7323.34,INR,2026-08-28,NEFT CR RAZORPAY ICICI1822662216
bnk_000000077,setl_000000077,ICICI2272368870,3416.29,INR,2026-08-21,NEFT CR RAZORPAY ICICI2272368870
bnk_000000078,setl_000000078,HDFC7671625956,1221.29,INR,2026-08-30,NEFT CR RAZORPAY HDFC7671625956
bnk_000000079,setl_000000079,SBIN7351029162,3416.65,INR,2026-08-17,NEFT CR RAZORPAY SBIN7351029162
bnk_000000080,setl_000000080,HDFC7015992643,878.50,INR,2026-08-27,NEFT CR RAZORPAY HDFC7015992643
bnk_000000081,setl_000000081,KKBK9371430906,878.08,INR,2026-08-18,NEFT CR RAZORPAY KKBK9371430906
bnk_000000082,setl_000000082,KKBK7539399243,7323.55,INR,2026-08-21,NEFT CR RAZORPAY KKBK7539399243
bnk_000000083,setl_000000083,HDFC4178659381,1952.60,INR,2026-08-20,NEFT CR RAZORPAY HDFC4178659381
bnk_000000084,setl_000000084,ICICI3370788647,1220.50,INR,2026-08-23,NEFT CR RAZORPAY ICICI3370788647
bnk_000000085,setl_000000085,ICICI8986950095,878.63,INR,2026-08-20,NEFT CR RAZORPAY ICICI8986950095
bnk_000000086,setl_000000086,KKBK1610900200,487.43,INR,2026-08-29,NEFT CR RAZORPAY KKBK1610900200
bnk_000000087,setl_000000087,SBIN8252816758,4881.35,INR,2026-08-25,NEFT CR RAZORPAY SBIN8252816758
bnk_000000088,setl_000000088,HDFC9115009532,3417.17,INR,2026-08-21,NEFT CR RAZORPAY HDFC9115009532
bnk_000000089,setl_000000089,KKBK8822944679,476.37,INR,2026-08-29,NEFT CR RAZORPAY KKBK8822944679
bnk_000000090,setl_000000090,ICICI8792122716,478.37,INR,2026-08-22,NEFT CR RAZORPAY ICICI8792122716
bnk_000000091,setl_000000091,AXIS7422990551,4881.97,INR,2026-08-25,NEFT CR RAZORPAY AXIS7422990551
bnk_000000092,setl_000000092,AXIS8613035386,11716.80,INR,2026-08-27,NEFT CR RAZORPAY AXIS8613035386
bnk_000000093,setl_000000093,KKBK8543865915,7323.95,INR,2026-08-17,NEFT CR RAZORPAY KKBK8543865915
bnk_000000094,setl_000000094,SBIN3081821325,238.00,INR,2026-08-26,NEFT CR RAZORPAY SBIN3081821325
bnk_000000095,setl_000000095,KKBK2752306681,1951.96,INR,2026-08-24,NEFT CR RAZORPAY KKBK2752306681
bnk_000000096,setl_000000096,AXIS6469318275,7323.59,INR,2026-08-20,NEFT CR RAZORPAY AXIS6469318275
bnk_000000097,setl_000000097,KKBK4776677517,878.12,INR,2026-08-29,NEFT CR RAZORPAY KKBK4776677517
bnk_000000098,setl_000000098,AXIS8413332538,7323.19,INR,2026-08-24,NEFT CR RAZORPAY AXIS8413332538
bnk_000000099,setl_000000099,KKBK6915072151,3416.66,INR,2026-08-28,NEFT CR RAZORPAY KKBK6915072151
bnk_000000100,setl_000000100,SBIN5482431018,7323.88,INR,2026-08-29,NEFT CR RAZORPAY SBIN5482431018
bnk_000000101,setl_000000101,HDFC8924383984,878.44,INR,2026-08-24,NEFT CR RAZORPAY HDFC8924383984
bnk_000000102,setl_000000102,ICICI5616352188,1953.22,INR,2026-08-26,NEFT CR RAZORPAY ICICI5616352188
bnk_000000103,setl_000000103,KKBK8556573246,11716.84,INR,2026-08-26,NEFT CR RAZORPAY KKBK8556573246
bnk_000000104,setl_000000104,HDFC4747699292,7323.21,INR,2026-08-28,NEFT CR RAZORPAY HDFC4747699292
bnk_000000105,setl_000000105,HDFC6554972315,3416.96,INR,2026-08-19,NEFT CR RAZORPAY HDFC6554972315
bnk_000000106,setl_000000106,ICICI1730074215,878.54,INR,2026-08-30,NEFT CR RAZORPAY ICICI1730074215
bnk_000000107,setl_000000107,KKBK1614685938,7323.79,INR,2026-08-21,NEFT CR RAZORPAY KKBK1614685938
bnk_000000108,setl_000000108,SBIN9165632300,11717.00,INR,2026-08-18,NEFT CR RAZORPAY SBIN9165632300
bnk_000000109,setl_000000109,SBIN8259841263,7323.37,INR,2026-08-20,NEFT CR RAZORPAY SBIN8259841263
bnk_000000110,setl_000000110,SBIN7751356568,1953.67,INR,2026-08-21,NEFT CR RAZORPAY SBIN7751356568
bnk_000000111,setl_000000111,KKBK5181592277,7323.35,INR,2026-08-29,NEFT CR RAZORPAY KKBK5181592277
bnk_000000112,setl_000000112,ICICI7961674558,1221.28,INR,2026-08-18,NEFT CR RAZORPAY ICICI7961674558
bnk_000000113,setl_000000113,SBIN9733234156,3417.33,INR,2026-08-19,NEFT CR RAZORPAY SBIN9733234156
bnk_000000114,setl_000000114,SBIN1754368373,1221.18,INR,2026-08-22,NEFT CR RAZORPAY SBIN1754368373
bnk_000000115,setl_000000115,AXIS9350223102,1953.73,INR,2026-08-30,NEFT CR RAZORPAY AXIS9350223102
bnk_000000116,setl_000000116,HDFC5151086814,4881.72,INR,2026-08-22,NEFT CR RAZORPAY HDFC5151086814
bnk_000000117,setl_000000117,KKBK5825776872,3417.26,INR,2026-08-28,NEFT CR RAZORPAY KKBK5825776872
bnk_000000118,setl_000000118,AXIS6299224734,487.99,INR,2026-08-25,NEFT CR RAZORPAY AXIS6299224734
bnk_000000119,setl_000000119,SBIN2753617371,1220.55,INR,2026-08-17,NEFT CR RAZORPAY SBIN2753617371
bnk_000000120,setl_000000120,KKBK5877639950,7323.46,INR,2026-08-27,NEFT CR RAZORPAY KKBK5877639950
bnk_000000121,setl_000000121,HDFC8875651818,4881.36,INR,2026-08-17,NEFT CR RAZORPAY HDFC8875651818
bnk_000000122,setl_000000122,ICICI8969097897,878.63,INR,2026-08-22,NEFT CR RAZORPAY ICICI8969097897
bnk_000000123,setl_000000123,AXIS2952996248,1952.62,INR,2026-08-27,NEFT CR RAZORPAY AXIS2952996248
bnk_000000124,setl_000000124,ICICI5246953455,1951.90,INR,2026-08-30,NEFT CR RAZORPAY ICICI5246953455
bnk_000000125,setl_000000125,ICICI5307145891,1220.66,INR,2026-08-25,NEFT CR RAZORPAY ICICI5307145891
bnk_000000126,setl_000000126,HDFC1566090561,3416.71,INR,2026-08-26,NEFT CR RAZORPAY HDFC1566090561
bnk_000000127,setl_000000127,ICICI8480622107,11716.94,INR,2026-08-28,NEFT CR RAZORPAY ICICI8480622107
bnk_000000128,setl_000000128,KKBK3549776132,7323.63,INR,2026-08-20,NEFT CR RAZORPAY KKBK3549776132
bnk_000000129,setl_000000129,HDFC7019900273,878.39,INR,2026-08-28,NEFT CR RAZORPAY HDFC7019900273
bnk_000000130,setl_000000130,ICICI1282103057,1953.57,INR,2026-08-27,NEFT CR RAZORPAY ICICI1282103057
bnk_000000131,setl_000000131,KKBK7573691558,7323.63,INR,2026-08-26,NEFT CR RAZORPAY KKBK7573691558
bnk_000000132,setl_000000132,KKBK6218484323,7323.28,INR,2026-08-23,NEFT CR RAZORPAY KKBK6218484323
bnk_000000133,setl_000000133,HDFC6637352245,3417.25,INR,2026-08-21,NEFT CR RAZORPAY HDFC6637352245
bnk_000000134,setl_000000134,HDFC5695387521,878.71,INR,2026-08-28,NEFT CR RAZORPAY HDFC5695387521
bnk_000000135,setl_000000135,KKBK7707379050,878.29,INR,2026-08-22,NEFT CR RAZORPAY KKBK7707379050
bnk_000000136,setl_000000136,HDFC9454207717,1953.24,INR,2026-08-18,NEFT CR RAZORPAY HDFC9454207717
bnk_000000137,setl_000000137,SBIN5759761714,11717.26,INR,2026-08-18,NEFT CR RAZORPAY SBIN5759761714
bnk_000000138,setl_000000138,KKBK9702693937,1952.83,INR,2026-08-19,NEFT CR RAZORPAY KKBK9702693937
bnk_000000139,setl_000000139,AXIS1026224160,971.21,INR,2026-08-27,NEFT CR RAZORPAY AXIS1026224160
bnk_000000140,setl_000000140,KKBK6218955985,4881.59,INR,2026-08-22,NEFT CR RAZORPAY KKBK6218955985
bnk_000000141,setl_000000141,KKBK3560761628,487.41,INR,2026-08-19,NEFT CR RAZORPAY KKBK3560761628
bnk_000000142,setl_000000142,SBIN7193532615,1953.06,INR,2026-08-29,NEFT CR RAZORPAY SBIN7193532615
bnk_000000143,setl_000000143,AXIS7842459488,11717.63,INR,2026-08-21,NEFT CR RAZORPAY AXIS7842459488
bnk_000000144,setl_000000144,HDFC1033015788,1952.89,INR,2026-08-29,NEFT CR RAZORPAY HDFC1033015788
bnk_000000145,setl_000000145,HDFC2849649210,1220.97,INR,2026-08-25,NEFT CR RAZORPAY HDFC2849649210
bnk_000000146,setl_000000146,HDFC2873548915,7323.09,INR,2026-08-30,NEFT CR RAZORPAY HDFC2873548915
bnk_000000147,setl_000000147,SBIN2243458354,4881.04,INR,2026-08-22,NEFT CR RAZORPAY SBIN2243458354
bnk_000000148,setl_000000148,AXIS5673482258,878.08,INR,2026-08-23,NEFT CR RAZORPAY AXIS5673482258
bnk_000000149,setl_000000149,AXIS8498174646,1952.23,INR,2026-08-29,NEFT CR RAZORPAY AXIS8498174646
bnk_000000150,setl_000000150,ICICI6795522649,1220.79,INR,2026-08-18,NEFT CR RAZORPAY ICICI6795522649
bnk_000000151,setl_000000151,ICICI3815389788,1221.46,INR,2026-08-27,NEFT CR RAZORPAY ICICI3815389788
bnk_000000152,setl_000000152,KKBK2357806226,7323.08,INR,2026-08-24,NEFT CR RAZORPAY KKBK2357806226
bnk_000000153,setl_000000153,KKBK5536224717,11716.89,INR,2026-08-21,NEFT CR RAZORPAY KKBK5536224717
bnk_000000154,setl_000000154,AXIS9919491730,878.54,INR,2026-08-26,NEFT CR RAZORPAY AXIS9919491730
bnk_000000155,setl_000000155,HDFC3799620568,3417.17,INR,2026-08-24,NEFT CR RAZORPAY HDFC3799620568
bnk_000000156,setl_000000156,AXIS9952125442,1220.55,INR,2026-08-20,NEFT CR RAZORPAY AXIS9952125442
bnk_000000157,setl_000000157,AXIS6958908766,3417.26,INR,2026-08-26,NEFT CR RAZORPAY AXIS6958908766
bnk_000000158,setl_000000158,HDFC6955247915,1953.70,INR,2026-08-30,NEFT CR RAZORPAY HDFC6955247915
bnk_000000159,setl_000000159,KKBK3850192297,3416.80,INR,2026-08-27,NEFT CR RAZORPAY KKBK3850192297
bnk_000000160,setl_000000160,HDFC8695129534,1221.33,INR,2026-08-28,NEFT CR RAZORPAY HDFC8695129534
bnk_000000161,setl_000000161,SBIN7478908722,487.67,INR,2026-08-21,NEFT CR RAZORPAY SBIN7478908722
bnk_000000162,setl_000000162,SBIN1824656200,1020.69,INR,2026-08-18,NEFT CR RAZORPAY SBIN1824656200
bnk_000000163,setl_000000163,KKBK2617999521,1220.73,INR,2026-08-30,NEFT CR RAZORPAY KKBK2617999521
bnk_000000164,setl_000000164,HDFC7059591606,1952.37,INR,2026-08-26,NEFT CR RAZORPAY HDFC7059591606
bnk_000000165,setl_000000165,ICICI4586784711,3417.26,INR,2026-08-26,NEFT CR RAZORPAY ICICI4586784711
bnk_000000166,setl_000000166,KKBK7560389844,1220.75,INR,2026-08-29,NEFT CR RAZORPAY KKBK7560389844
bnk_000000167,setl_000000167,SBIN9049270990,11716.93,INR,2026-08-28,NEFT CR RAZORPAY SBIN9049270990
bnk_000000168,setl_000000168,ICICI6466597005,11716.98,INR,2026-08-30,NEFT CR RAZORPAY ICICI6466597005
bnk_000000169,setl_000000169,AXIS4996346509,4881.08,INR,2026-08-23,NEFT CR RAZORPAY AXIS4996346509
bnk_000000170,setl_000000170,HDFC2610237679,487.61,INR,2026-08-18,NEFT CR RAZORPAY HDFC2610237679
bnk_000000171,setl_000000171,AXIS4569592370,7323.56,INR,2026-08-26,NEFT CR RAZORPAY AXIS4569592370
bnk_000000172,setl_000000172,ICICI4586139213,11717.71,INR,2026-08-26,NEFT CR RAZORPAY ICICI4586139213
bnk_000000173,setl_000000173,ICICI2293434554,487.51,INR,2026-08-23,NEFT CR RAZORPAY ICICI2293434554
bnk_000000174,setl_000000174,SBIN9660523876,11717.52,INR,2026-08-20,NEFT CR RAZORPAY SBIN9660523876
bnk_000000175,setl_000000175,AXIS2789144223,878.44,INR,2026-08-22,NEFT CR RAZORPAY AXIS2789144223
bnk_000000176,setl_000000176,SBIN9776913529,4881.48,INR,2026-08-21,NEFT CR RAZORPAY SBIN9776913529
bnk_000000177,setl_000000177,HDFC2428156550,487.66,INR,2026-08-25,NEFT CR RAZORPAY HDFC2428156550
bnk_000000178,setl_000000178,SBIN1579187439,7323.04,INR,2026-08-21,NEFT CR RAZORPAY SBIN1579187439
bnk_000000179,setl_000000179,AXIS9303765140,11717.29,INR,2026-08-30,NEFT CR RAZORPAY AXIS9303765140
bnk_000000180,setl_000000180,ICICI6523804237,488.03,INR,2026-08-22,NEFT CR RAZORPAY ICICI6523804237
bnk_000000181,setl_000000181,SBIN8487449580,4881.44,INR,2026-08-19,NEFT CR RAZORPAY SBIN8487449580
bnk_000000182,setl_000000182,KKBK9944748312,4881.12,INR,2026-08-23,NEFT CR RAZORPAY KKBK9944748312
bnk_000000183,setl_000000183,AXIS1440654676,3417.24,INR,2026-08-21,NEFT CR RAZORPAY AXIS1440654676
bnk_000000184,setl_000000184,SBIN6804850108,488.13,INR,2026-08-30,NEFT CR RAZORPAY SBIN6804850108
bnk_000000185,setl_000000185,HDFC9912233947,4881.47,INR,2026-08-25,NEFT CR RAZORPAY HDFC9912233947
bnk_000000186,setl_000000186,KKBK2881937953,1220.58,INR,2026-08-20,NEFT CR RAZORPAY KKBK2881937953
bnk_000000187,setl_000000187,KKBK9729028480,1221.34,INR,2026-08-24,NEFT CR RAZORPAY KKBK9729028480
bnk_000000188,setl_000000188,KKBK6871005324,3417.23,INR,2026-08-21,NEFT CR RAZORPAY KKBK6871005324
bnk_000000189,setl_000000189,SBIN7518666304,11716.95,INR,2026-08-21,NEFT CR RAZORPAY SBIN7518666304
bnk_000000190,setl_000000190,KKBK3109688769,877.95,INR,2026-08-30,NEFT CR RAZORPAY KKBK3109688769
bnk_000000191,setl_000000191,SBIN5283209430,3417.25,INR,2026-08-22,NEFT CR RAZORPAY SBIN5283209430
bnk_000000192,setl_000000192,ICICI3738900744,3417.06,INR,2026-08-20,NEFT CR RAZORPAY ICICI3738900744
bnk_000000193,setl_000000193,SBIN5407856339,11717.52,INR,2026-08-22,NEFT CR RAZORPAY SBIN5407856339
bnk_000000194,setl_000000194,HDFC5577353273,4881.91,INR,2026-08-28,NEFT CR RAZORPAY HDFC5577353273
bnk_000000195,setl_000000195,KKBK1316756902,3417.22,INR,2026-08-18,NEFT CR RAZORPAY KKBK1316756902
bnk_000000196,setl_000000196,KKBK5150074940,4881.65,INR,2026-08-30,NEFT CR RAZORPAY KKBK5150074940
bnk_000000197,setl_000000197,AXIS1707196784,3417.30,INR,2026-08-20,NEFT CR RAZORPAY AXIS1707196784
bnk_000000198,setl_000000198,AXIS2178758213,1953.56,INR,2026-08-25,NEFT CR RAZORPAY AXIS2178758213
bnk_000000199,setl_000000199,KKBK1662259333,3417.13,INR,2026-08-17,NEFT CR RAZORPAY KKBK1662259333
bnk_000000200,setl_000000200,KKBK7752277876,-512.16,INR,2026-08-27,NEFT CR RAZORPAY KKBK7752277876
bnk_000000201,setl_000000201,SBIN6572436051,878.64,INR,2026-08-17,NEFT CR RAZORPAY SBIN6572436051
bnk_000000202,setl_000000202,ICICI5912019621,3417.33,INR,2026-08-30,NEFT CR RAZORPAY ICICI5912019621
bnk_000000203,setl_000000203,KKBK3412273600,3416.71,INR,2026-08-24,NEFT CR RAZORPAY KKBK3412273600
bnk_000000204,setl_000000204,HDFC5512315375,4881.78,INR,2026-08-23,NEFT CR RAZORPAY HDFC5512315375
bnk_000000205,setl_000000205,KKBK8392190335,1952.77,INR,2026-08-19,NEFT CR RAZORPAY KKBK8392190335
bnk_000000206,setl_000000206,AXIS3136189070,878.27,INR,2026-08-25,NEFT CR RAZORPAY AXIS3136189070
bnk_000000207,setl_000000207,HDFC5512036684,7323.74,INR,2026-08-30,NEFT CR RAZORPAY HDFC5512036684
bnk_000000208,setl_000000208,HDFC4638577630,4881.19,INR,2026-08-21,NEFT CR RAZORPAY HDFC4638577630
bnk_000000209,setl_000000209,SBIN9809655189,11717.04,INR,2026-08-22,NEFT CR RAZORPAY SBIN9809655189
bnk_000000210,setl_000000210,SBIN1510289448,878.27,INR,2026-08-22,NEFT CR RAZORPAY SBIN1510289448
bnk_000000211,setl_000000211,ICICI1172893522,487.39,INR,2026-08-28,NEFT CR RAZORPAY ICICI1172893522
bnk_000000212,setl_000000212,ICICI3214080278,3417.18,INR,2026-08-22,NEFT CR RAZORPAY ICICI3214080278
bnk_000000213,setl_000000213,KKBK7581349462,1953.39,INR,2026-08-30,NEFT CR RAZORPAY KKBK7581349462
bnk_000000214,setl_000000214,SBIN7801948900,487.96,INR,2026-08-24,NEFT CR RAZORPAY SBIN7801948900
bnk_000000215,setl_000000215,KKBK3063511828,11717.58,INR,2026-08-28,NEFT CR RAZORPAY KKBK3063511828
bnk_000000216,setl_000000216,ICICI9725528903,878.02,INR,2026-08-17,NEFT CR RAZORPAY ICICI9725528903
bnk_000000217,setl_000000217,ICICI9248574674,488.10,INR,2026-08-19,NEFT CR RAZORPAY ICICI9248574674
bnk_000000218,setl_000000218,SBIN7551874474,3416.64,INR,2026-08-24,NEFT CR RAZORPAY SBIN7551874474
bnk_000000219,setl_000000219,AXIS7915226263,1952.12,INR,2026-08-21,NEFT CR RAZORPAY AXIS7915226263
bnk_000000220,setl_000000220,AXIS8607135564,1452.68,INR,2026-08-28,NEFT CR RAZORPAY AXIS8607135564
bnk_000000221,setl_000000221,AXIS2236045959,11717.27,INR,2026-08-23,NEFT CR RAZORPAY AXIS2236045959
bnk_000000222,setl_000000222,AXIS5634396131,7323.81,INR,2026-08-21,NEFT CR RAZORPAY AXIS5634396131
bnk_000000223,setl_000000223,AXIS8285000265,1220.63,INR,2026-08-26,NEFT CR RAZORPAY AXIS8285000265
bnk_000000224,setl_000000224,KKBK2000025413,878.29,INR,2026-08-22,NEFT CR RAZORPAY KKBK2000025413
bnk_000000225,setl_000000225,KKBK5973319056,7323.60,INR,2026-08-27,NEFT CR RAZORPAY KKBK5973319056
bnk_000000226,setl_000000226,HDFC9974165440,1952.49,INR,2026-08-28,NEFT CR RAZORPAY HDFC9974165440
bnk_000000227,setl_000000227,ICICI8886432673,7323.23,INR,2026-08-28,NEFT CR RAZORPAY ICICI8886432673
bnk_000000228,setl_000000228,KKBK3588933132,3416.77,INR,2026-08-24,NEFT CR RAZORPAY KKBK3588933132
